variant,key,label,r2_ungamed,coding,selection,extraction
persons 65 and over (subgroup of all-age results),cms,CMS form,0.06636192729232608,1379219.0707094257,1513814.2909242318,2893033.3616336575
persons 65 and over (subgroup of all-age results),cms_pen_1,"CMS form, coding-penalized (lambda=1)",0.06760805203081095,88119.68346482955,1270904.251913136,1359023.9353779657
persons 65 and over (subgroup of all-age results),cms_cap_pen_dro_1,"CMS form, capped + coding penalty + DRO (DRO lambda=1)",0.06999261441077675,58081.33355956066,1174194.7359479915,1232276.069507552
persons 65 and over (subgroup of all-age results),gbm,Tweedie boosting,0.16713045309041352,1314638.6739421634,459712.989107804,1774351.6630499675
persons 65 and over (subgroup of all-age results),gbm_cap_dro,"Boosting, capped + DRO",0.16716047121435731,1315851.2505393035,491998.41097925627,1807849.6615185598
persons 65 and over (subgroup of all-age results),cms_pen_adv,"CMS form, coding-penalized, trained against the plan",0.06803175212566463,86911.17631201244,1277228.191871541,1364139.3681835535
persons 65 and over (subgroup of all-age results),cms_robust_adv,"CMS form, capped + penalized + DRO, trained against the plan",0.0702795641924433,48977.947822578775,1220697.7801727823,1269675.727995361
F3 (prior use) for the penalized form,cms_pen_1_F3,F3 (prior use) for the penalized form,0.11238741921355688,553.9480179280748,635168.0822254136,635722.0302433417
F3 (prior use) for the robust form,cms_cap_pen_dro_1_F3,F3 (prior use) for the robust form,0.11496950338247414,29817.312431857834,646679.7922428676,676497.1046747254
DRO alpha 0.05,cms_cap_pen_dro_1_a05,DRO alpha 0.05,0.10542968206801681,148342.04206139027,684459.1940240896,832801.2360854798
DRO alpha 0.20,cms_cap_pen_dro_1_a20,DRO alpha 0.20,0.10396634094016373,67977.83067412546,613114.6860035735,681092.5166776989
squared-error boosting,gbm_mse,squared-error boosting,0.20077903600831037,642547.3058340523,309196.35045200126,951743.6562860536
leave one panel out,cms,CMS form,0.10533555183195771,558634.6837023143,750516.905991881,1309151.5896941954
leave one panel out,cms_pen_1,"CMS form, coding-penalized (lambda=1)",0.10327317411909583,66399.08161844083,685678.7416751545,752077.8232935953
leave one panel out,gbm,Tweedie boosting,0.19001685865494108,662541.5118520939,256702.33407642838,919243.8459285223
