key,label,family,feature_set,param,r2_ungamed,r2_ungamed_lo,r2_ungamed_hi,r2_post,r2_post_lo,r2_post_hi,coding,coding_lo,coding_hi,selection,selection_lo,selection_hi,selection_shift,selection_shift_lo,selection_shift_hi,selection_ungamed,selection_ungamed_lo,selection_ungamed_hi,selection_interaction,selection_interaction_lo,selection_interaction_hi,extraction,extraction_lo,extraction_hi,payment_base,extraction_pct,codes_per_1000,extraction_fold_sd,extraction_fold_min,extraction_fold_max,payment_to_cost,distinct_codes,top_code_share,top_codes,r2_ungamed_vs_cms,r2_ungamed_vs_cms_lo,r2_ungamed_vs_cms_hi,extraction_vs_cms,extraction_vs_cms_lo,extraction_vs_cms_hi,coding_vs_cms,coding_vs_cms_lo,coding_vs_cms_hi,selection_vs_cms,selection_vs_cms_lo,selection_vs_cms_hi
cms,CMS form,reference,F2,,0.09795054386787765,0.07594877303802326,0.1298231043075811,0.07789686096537456,0.06073403576268238,0.10331358293378337,566290.6490066765,548206.3296259921,584797.6793644008,771308.7633945029,721611.7768774603,813609.9482237024,616547.112041851,590608.2822938646,639686.3702074904,651604.9728549175,602387.3623815799,693848.4049425524,119703.79053958756,115271.8399766745,123714.06700832478,1337599.4124011793,1282597.7721405772,1385782.2132154696,7800449.110447641,17.147723079298686,60.06158520381856,52518.7841935989,1251632.2612319328,1407072.3266714786,1.0010571810586413,6.0,0.40591618278067,"NVS015, CIR019, MUS003",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cms_F3,"CMS form, with prior use",reference,F3,,0.10762042253494712,0.08529556880524973,0.14131092756537986,0.09123193546373247,0.0738974666954167,0.11949923159682485,463721.9371277821,446878.23044100514,477950.73019215994,696465.7118611104,647976.8778173458,736799.7792778976,555252.6098383138,530463.0059054804,577913.7577339183,599791.9985683021,552209.4134267791,639031.0271785508,96673.71329280872,92701.9127236827,99945.5031711166,1160187.6489888926,1105496.449940553,1203527.2773518926,7800549.894022978,14.873152082237999,60.05114707613229,48523.90309602601,1078184.629618796,1233881.583830219,1.0010701149449337,5.8,0.4172645056080036,"NVS015, CIR019, MUS003",0.009669878667069476,0.007420917778034238,0.012682820309816524,-177411.76341228676,-211134.64025755675,-145568.72573494073,-102568.71187889442,-119111.30511571547,-84723.40440355812,-74843.05153339251,-102346.75449448396,-52682.55069986476
wls,Unconstrained WLS,reference,F3,,0.1230291603516009,0.1021702818795226,0.15503256277863225,0.09928462311348374,0.08371706391041545,0.12199896471115387,482099.5380117299,464715.2516101794,502726.1968831909,829713.4747275121,781622.9668179573,871767.600063622,868537.3094286604,838949.3970761042,894905.3297689563,721038.708961165,672507.4179771582,759656.8774849337,108674.76576634648,103946.28071151162,113930.3692715617,1311813.012739242,1260469.6507467262,1365027.7296640545,7802240.13317492,16.813286829784275,60.06744326003137,86998.5695509342,1150250.70800572,1468180.8707310609,1.0012870288708884,6.866666666666666,0.42742748096207045,"NVS015, CIR019, MUS003",0.025078616483723254,0.019004281258567002,0.03045244667416439,-25786.399661937263,-71499.82703236089,13568.283187106808,-84191.11099494662,-108045.34851082692,-58518.9999392565,58404.71133300918,23300.43481558836,87184.16725174985
gbm,Tweedie boosting,reference,F3,,0.18712555333606695,0.15580139041110086,0.2424723233741004,0.17534897106722444,0.14756290468502573,0.22456999169959282,520346.00532676175,497569.78232194384,543906.4565322137,234953.46871047665,199704.25403217785,273987.6600131117,439587.46191708354,416781.6771640543,464486.05786957237,105659.15659953852,70151.63548290003,142431.83879437103,129294.31211093754,124436.53172272608,135044.14499506316,755299.4740372384,711738.9493804384,803995.4604592908,7759465.254999235,9.733911412911054,60.042275930522365,143575.01994510303,448410.05955612287,977015.4443013261,0.9957975886655386,13.466666666666667,0.4271423741937216,"MUS026, MUS003",0.0891750094681893,0.07051513556239111,0.11582254561908027,-582299.9383639409,-643108.3768261399,-512427.88810851955,-45944.64367991476,-67685.91726233967,-19690.68078601714,-536355.2946840263,-593745.7187751521,-468588.55137529847
fair,Fair stacked (paper 6),reference,F3,,0.16945566963671208,0.14204271567844526,0.2150904615837553,0.12333723402259293,0.09527596449812811,0.16074308326843506,902142.6822911514,868773.5808370002,935202.7026908272,654898.0495770473,604981.0035332053,710088.9424624934,1309824.0563114048,1270994.4506399578,1351604.7981525592,441823.05044972606,390562.82027310977,490012.3347663455,213074.99912731707,206002.07370111902,220823.9275614051,1557040.7318681986,1487067.7949835209,1634806.2787289456,7765192.361636027,20.05154102248344,60.061186800787205,214091.21408119934,1090419.0688134844,1931086.3112769737,0.9965325670166914,7.533333333333333,0.42797265650786953,"NVS009, NVS015, MUS026",0.07150512576883443,0.05226583212709915,0.09668521595404121,219441.3194670193,147640.03253717368,312207.5731502682,335852.03328447486,301485.6118443829,373716.60924441315,-116410.71381745557,-187656.92583455282,-40591.44663747003
cms_cap,"CMS form, cost-capped",capped,F2,,0.097968392253782,0.07596765035821228,0.12983517481654264,0.07909871234217569,0.06229072274535711,0.10484928890090453,566257.4417393961,549585.5985176405,582160.5786162494,762443.5786108891,712940.7055476827,804833.3095671001,619956.3742635511,592806.5801479176,644969.6274522812,643341.1457791002,592273.2218453067,686973.2958266465,119102.43283178977,114534.45505806163,123834.31955911865,1328701.0203502853,1275496.1030949042,1375656.7584829633,7800462.342649452,17.033618803407848,60.08008027879897,57264.53611306707,1238147.8760089339,1423687.013846362,1.0010588791904356,6.0,0.40727123567322415,"NVS015, CIR019, MUS003",1.7848385904351005e-05,4.657864696513969e-06,3.572613093517433e-05,-8898.392050893977,-32234.340311986198,12873.802455204743,-33.20726728043519,-18358.472914841437,17469.491444241008,-8865.184783613775,-19718.754307202842,818.441434940607
cms_pen_0.5,"CMS form, coding-penalized (lambda=0.5)",penalized,F2,0.5,0.09720402564767376,0.0748083855312089,0.12826853051069997,0.09069995512495888,0.07132832055318843,0.1175397603540388,73565.55298793092,71441.35583308282,76480.82253563237,682236.9188152694,630968.848027272,729927.9365781953,420778.56632387143,393162.4912164668,444773.1542625117,671109.6753467241,620404.9002092119,718575.9876494394,11127.24346854404,10222.92681163373,12060.165426385363,755802.4718032003,706523.6223221181,803620.5326382625,7793665.1041901475,9.697651383517291,60.140633114664524,59159.58293735474,671759.749879355,847297.591620283,1.0001865673177843,60.13333333333333,0.07669079670637975,"END002+END005, MUS003, NVS015",-0.0007465182202038845,-0.0043101134102526365,0.0024185608234328724,-581796.940597979,-611318.2785497565,-551061.468663936,-492725.09601874556,-510250.88739150466,-475144.04549274436,-89071.84457923356,-114387.42393557074,-67546.86509257795
cms_pen_1,"CMS form, coding-penalized (lambda=1)",penalized,F2,1.0,0.09636184849824714,0.074123338870857,0.12676381399957415,0.0891574207462927,0.06996435198133229,0.11566289640853183,66356.65781475868,64342.79872243766,68766.6456325141,677076.6614523496,625572.7227505688,726535.3265105451,397792.182489164,373161.15037595504,418710.1611784305,667465.5327612,615881.0521345104,717134.6936144654,9611.128691149086,8823.619046545615,10381.084236808547,743433.3192671083,692036.0113285545,792697.0068400287,7793468.205818088,9.539184604770828,60.05349478972646,58180.31700199298,657834.1501860509,853431.8862652538,1.0001612987048496,124.0,0.050315713040438616,"END002+END005, NVS015",-0.0015886953696305078,-0.00531012451567725,0.001513869066791234,-594166.093134071,-625731.5727953945,-561827.1611683781,-499933.9911919178,-518120.79180285486,-482648.20197046734,-94232.1019421533,-120235.5709958756,-68884.02173128963
cms_pen_2,"CMS form, coding-penalized (lambda=2)",penalized,F2,2.0,0.09514082981012058,0.07308952356390482,0.12461621351728554,0.0884067859784163,0.06960891116354916,0.11416765251745176,58185.67377317378,56253.742353780246,60059.11056510431,680053.2420378611,629155.1496492752,734637.4743575938,360814.9512891005,333969.55159602617,383968.7031733699,672423.0095609922,621094.795148383,726820.782064981,7630.232476868675,6871.2889781038075,8353.81164007807,738238.915811035,688022.7595001076,791792.2782737626,7793408.850643587,9.472606018226164,60.06105956442913,66869.79420804739,650710.2434084223,889277.0259346106,1.0001536814609158,124.0,0.03573448611830498,"END002+END005, CIR011, SYM016",-0.002809714057757068,-0.007303303667595866,0.0002407797192429396,-599360.4965901444,-635472.5020548445,-561330.8185554764,-508104.97523350274,-527185.3042839086,-489667.92279407225,-91255.52135664178,-120368.31505906949,-60181.5863163478
cms_pen_5,"CMS form, coding-penalized (lambda=5)",penalized,F2,5.0,0.09123440040892183,0.06989878385832982,0.11910109368971236,0.08514879130594884,0.06677027052219932,0.10950267445210891,38241.6592367166,37046.15016963889,39554.713096378815,686360.5436188472,633805.5354530864,738616.4940027571,286476.8352896294,261841.83067838207,308443.88816821616,682278.4482410027,629525.0513912699,734811.3131324829,4082.0953778451644,3393.335571665391,4639.388593597661,724602.2028555637,670964.8433380575,777084.3188883079,7793428.340914301,9.297605253537952,60.12176225423952,67240.12139782077,614079.7553169238,865736.0855780535,1.0001561827111878,124.0,0.024581167069823,"END002+END005, MUS003, MBD002",-0.006716143458955812,-0.012103129926976625,-0.003263871490447557,-612997.2095456156,-651569.8928955976,-576150.4291395833,-528048.9897699599,-546212.4779439485,-509672.69133716315,-84948.21977565577,-115827.4838505744,-54842.26150835734
