key,label,family,group,nc_ungamed,nc_post,nc_ungamed_fold_min,nc_ungamed_fold_max,nc_post_fold_min,nc_post_fold_max,enrollment_share_post
cms,CMS form,reference,Income below 200% FPL,331.05342300320916,1757.3118081668613,-1316.7756276254113,1084.0198814047972,312.7740305726998,2521.7197136997734,1.0157794148953356
cms,CMS form,reference,Hispanic,294.4743698670578,1353.5108483497463,-1522.7452401863322,1425.7416236050592,-4.819541053974451,2406.164242446778,0.995669172072169
cms,CMS form,reference,Non-Hispanic Black,85.61252217234369,1351.6057643890547,-1100.2930316423356,1191.9916592957431,362.68032369618646,2403.010946803455,0.9965034523801821
cms,CMS form,reference,Non-Hispanic Asian,591.0917977992693,1613.6818682030946,-689.6617711226636,1597.0100832861558,37.46288501241535,2612.533869488963,0.9793714254115534
cms,CMS form,reference,Needs ADL or IADL help,-9915.429924714661,-5921.329410197533,-21637.471292332022,-3644.3908829326892,-16601.497140693944,-536.3476836570975,0.9674936007358589
cms,CMS form,reference,Mental health condition,3.650625191141944,2437.1648305597405,-1962.6478705359482,1970.7121884099465,800.9479704161336,4450.044096370722,1.0363915703818811
cms,CMS form,reference,Age 65 and over,21.607482736735207,3117.715800302763,-2801.385726871943,2418.3475834888222,198.9052775107661,5471.273954902049,1.0515972543485252
cms,CMS form,reference,Uninsured all year,1212.4294660536573,1651.7333517254353,-18.623017782070747,1993.7309082488898,440.04330389731484,2434.424640437948,1.0592116991967435
cms_F3,"CMS form, with prior use",reference,Income below 200% FPL,277.10672544830624,1646.2999437420503,-1310.3875751376831,1002.2853961859731,159.07604360093768,2419.1145240682636,1.0157910682366984
cms_F3,"CMS form, with prior use",reference,Hispanic,249.56456682985058,1209.7863028974268,-1686.4002644347313,1320.6956957956522,-302.5947607017848,2228.1510681417426,0.9791924165385241
cms_F3,"CMS form, with prior use",reference,Non-Hispanic Black,77.77668069347949,1209.33685420585,-1178.7690273580445,1088.1567578676684,-48.51477459207304,2318.112660289355,0.9933652455839774
cms_F3,"CMS form, with prior use",reference,Non-Hispanic Asian,483.65809857490814,1476.712241436907,-730.0393983773182,1430.925805238812,252.73100398435258,2541.9812451475887,0.9675639919719372
cms_F3,"CMS form, with prior use",reference,Needs ADL or IADL help,-10361.401525162648,-6179.460257391252,-21747.409944296374,-4176.7576680784705,-16070.61113482896,-587.9790040156178,0.9600318730250607
cms_F3,"CMS form, with prior use",reference,Mental health condition,-379.07995672506144,1848.6207388876048,-2340.1165430157703,1674.4972222860736,256.4950844131054,3683.708445732253,1.041138358442468
cms_F3,"CMS form, with prior use",reference,Age 65 and over,-622.2035393420302,2425.213909271967,-3283.1503903807247,1496.954293162839,-52.055383896141684,4393.0404284835,1.0422204794049352
cms_F3,"CMS form, with prior use",reference,Uninsured all year,530.0049688797233,1007.8306797361012,-541.7848928327029,1234.0904088157317,308.8351821388839,1748.9055196430272,0.957954631965247
wls,Unconstrained WLS,reference,Income below 200% FPL,-80.38636532599928,1538.5246266488832,-1498.4252083203598,615.5686403579546,140.34185021359838,2322.5971947755406,0.9971808824559677
wls,Unconstrained WLS,reference,Hispanic,-269.9968644319326,838.454793868535,-2037.618037526857,828.4371955733972,-474.68369920222665,1847.250670059676,0.9684699140477339
