flag,label,prevalence_pct,plausible_share_pct,incremental_cost,increment_cms,rank_cms,increment_cms_pen_1,rank_cms_pen_1,increment_cms_cap_pen_dro_1,rank_cms_cap_pen_dro_1,increment_cms_robust_adv,rank_cms_robust_adv,increment_over_cost_cms
NVS015,Polyneuropathies,0.8212735766911087,34.030705982368545,16954.991898204844,12503.795319860526,1,2195.6446140416456,4,2753.9615469101736,8,2640.428452560033,10,0.737469849288716
MUS003,Rheumatoid arthritis and related disease,1.2857309429739034,34.38493680244625,12554.61711677942,11038.092814891053,2,2109.616653438183,11,3208.092912864821,3,3101.0370428141796,3,0.8792058501042209
NVS009,Epilepsy; convulsions,0.869294756307764,42.065348179562065,12002.871128403289,10418.569912906429,3,2096.9076286659683,12,2789.172466768624,6,2717.940464615997,9,0.8680064795707245
GEN006,Other specified and unspecified diseases of kidney and ureters,0.8120872504691684,34.38185056473168,14081.132988673837,9883.399615340679,4,2159.105632592477,5,2854.4152102855737,5,2920.1623930093197,5,0.7018895158003545
CIR019,Heart failure,0.3705189947729043,28.693768025791734,15142.084252004624,9533.95066430417,5,1834.5411535151848,111,2368.309044154062,23,2445.7640598265675,16,0.6296326519938622
MUS026,Muscle disorders,0.664952489124567,39.31339182512399,10878.3200386498,8394.16880624362,6,1888.4843061888957,90,2483.3008998720047,15,2486.0946349224946,15,0.771642016085187
NEO030,Breast cancer - all other types,0.6898926428804053,16.490365560709815,7706.519265840933,7382.280845518069,7,2197.405241655645,3,2782.4396477154996,7,2996.5955032654456,4,0.9579267359052682
EYE005,Retinal and vitreous conditions,1.1256239636081893,27.335701706236655,8523.163086901055,7301.280143774109,8,2144.2931079034283,6,2488.4497441471717,14,2580.8628144128957,11,0.8566397321430099
RSP008,Chronic obstructive pulmonary disease and bronchiectasis,1.276900197577666,31.245966393721712,10448.164751563772,6500.3850881443395,9,2127.0723131063796,9,2732.0210199805665,10,2817.4384742083507,7,0.6221556840565162
MBD003,Bipolar and related disorders,0.786316611512213,38.99914856863702,8095.318401775068,6325.963588999974,10,1970.7606156868374,38,2444.7945101396767,18,2375.866782370436,23,0.7814348089894616
INF009,"Parasitic, other specified and unspecified infections",0.4815579058987653,40.51735821954037,9288.161077422128,6108.058774232103,11,2018.7437299900528,24,2184.9889300348227,31,2183.1954132692076,32,0.6576176622388377
GEN008,Urinary incontinence,0.5225625306789436,21.31236734115922,10027.596359180772,5955.0777466518475,12,2045.192769722438,17,2189.3159834286967,30,2237.6961541047535,28,0.5938689126831149
END002+END005,Diabetes mellitus without complication,7.766677651561858,35.90600041072767,5399.100582759761,5593.101433279638,13,2326.1840946798156,1,3854.3051387172354,2,3799.171496449554,1,1.0359320682299111
SKN001,Skin and subcutaneous tissue infections,1.124777581141926,42.378052870416305,7834.875265135591,5575.921346301637,14,2070.8541822518355,14,2493.3783737863896,13,2423.669930816691,19,0.7116796576346184
NEO039,Male reproductive system cancers - prostate,0.5343603686819737,10.29347754519459,5065.543399783295,5528.001929163177,15,2135.0059277346068,8,2737.1651461041774,9,2438.0779366728093,17,1.0912949496000106
DIG008,Other specified and unspecified disorders of stomach and duodenum,1.0675657868912714,40.15505002932395,7303.793792187599,5412.27939772431,16,2023.802335660337,23,2266.190692915313,27,2258.91737640355,27,0.7410230288146249
EYE001,Cornea and external disease,0.8411366049567368,41.41602285345986,5811.4002526740815,5103.828152302892,17,2009.1457945985026,27,1976.746251910802,58,1941.0010009024552,64,0.878244128849049
MUS013,Osteoporosis,0.5464520551639653,20.260011443407862,5842.395440765729,4838.039288431395,18,1809.625800080659,112,1870.3600268263203,109,1922.8337783896939,74,0.8280917198232821
BLD003,Aplastic anemia,0.537086300721704,30.485432496569015,8140.383661035184,4742.312258111703,19,2116.3248714556885,10,2172.795086699292,34,2169.1333809422235,33,0.5825661855240666
SYM016,Other general signs and symptoms,2.9905640560460944,41.58835451798061,7707.359436936323,4494.72810874412,20,2143.4153199354937,7,2707.217573168693,11,2739.619080935387,8,0.5831735428354143
RSP016,Other specified and unspecified lower respiratory disease,0.7308739653989241,43.20045386400252,6599.802832818192,4347.835512313135,21,1889.9226585722301,88,1933.7927999353913,74,1931.985191792861,69,0.6587826367619772
DIG001,Intestinal infection,0.5905069933770584,42.33462934115799,5370.560124801588,4197.957677961392,22,1938.4038637994242,58,1900.178904469221,92,1891.9334966864133,98,0.7816610521824262
FAC010,Other aftercare encounter,0.5997168423475775,39.82727985597881,7177.271322456912,4169.093931943993,23,1924.2489358156497,72,2147.155188052399,37,2167.2379581977925,34,0.5808745057330278
MBD014,Neurodevelopmental disorders,3.3140440389284382,37.215957658258105,4693.393029542666,3940.3963837787364,24,2038.1057676814276,21,2966.389723819338,4,2871.832626657533,6,0.839562414435745
GEN004,Urinary tract infections,2.4059003501440417,37.10345328501175,4729.2043666150585,3672.777187317246,25,2069.906986437652,15,2260.2424537195748,28,2228.0653085161393,29,0.7766162979220217
SKN002,Other specified inflammatory condition of skin,2.549398185806482,40.95343226575176,3655.1363268412792,3481.12972190016,26,2039.6048496217568,20,2166.485878837516,35,2118.870242557067,38,0.9523939493957279
INJ042,"Fracture of lower limb (except hip), subsequent encounter",0.7923971392351643,43.814182851778014,4016.630162202887,3386.1982160727343,27,1928.7302164301243,66,2054.3589315856657,42,2000.3695994584896,52,0.8430445620653315
MUS006,Osteoarthritis,5.30578857555224,33.700626882501766,4884.324825962972,3370.0143462580054,28,2063.2488364797696,16,2512.559859953338,12,2500.780453576438,14,0.6899652390734656
CIR011,Coronary atherosclerosis and other heart disease,2.31403023399514,30.004822287643222,5995.978534492631,3322.469213082745,29,1954.7475781965625,48,2434.015242542846,19,2423.712413006358,18,0.5541162620862995
PRG029,"Uncomplicated pregnancy, delivery or puerperium",1.3803787175175506,5.981058607256566,3254.5337924588766,3270.0329807936414,30,2248.3294029062968,2,4045.5502910451382,1,3691.494602445768,2,1.0047623375030483
NVS012,Transient cerebral ischemia,1.0049072772194099,29.49177059646982,5932.523513789628,3258.291038523548,31,2003.116721908159,30,2402.506452838206,21,2382.9385034298175,22,0.5492251368157139
NVS019,Nervous system pain and pain syndromes,1.0796593925240647,36.2022621407926,7244.967793050897,3224.78355170983,32,1988.3721679906341,33,2362.831164679337,24,2346.13474231458,25,0.44510667870779524
RSP002,Pneumonia (except that caused by tuberculosis),0.8770058593725073,43.9543917996009,5856.370011588679,3084.599950313296,33,1893.655813165336,87,2161.0671412415372,36,2163.778758945478,36,0.526708514695868
DIG025,Other specified and unspecified gastrointestinal disorders,1.8292274042383816,41.55112150413559,5848.033572638362,3069.7194118818434,34,2010.0852384786087,26,2321.000222520986,25,2309.537155286432,26,0.5249148066188218
CIR017,Cardiac dysrhythmias,1.9221976967967729,38.516246599793654,4493.506047592524,3023.256618499874,35,1841.0534042430206,110,2455.548101038381,17,2520.50849128897,13,0.6728057304206007
MUS033,Gout,1.115073224987947,24.5351967119127,5178.068155449651,3003.9832257607436,36,1858.6613034499696,105,2297.396489688551,26,2408.591939637794,20,0.5801358992540887
EYE008,Oculofacial plastics and orbital conditions,0.978759789885282,32.962954453902334,4147.58017910485,2946.6146487384653,37,1972.5634596078746,37,1988.1112073598163,51,2077.8379436496443,42,0.7104418773103544
MUS011,Spondylopathies/spondyloarthropathy (including infective),3.9334578682063652,41.58859708145396,4079.393327178744,2915.442148702387,38,1931.4821176184253,63,2179.0035629290337,33,2184.071586984481,31,0.7146754222688964
DIG019,Other specified and unspecified liver disease,0.45554140213911515,31.693015126259596,6690.695384127561,2898.3449144384203,39,1941.6474386457119,56,1894.6054693939695,96,1894.2081698604377,96,0.4331903857578404
END011,Fluid and electrolyte disorders,1.0569571342678874,38.70264175668868,6407.456294578932,2839.2773622126683,40,1798.3490746126795,114,1986.9369184693137,54,2022.588433168703,50,0.4431208316808741
SYM006,Abdominal pain and other digestive/abdomen signs and symptoms,2.056458750346182,42.52245982368053,4045.123143963401,2818.9525180996197,41,1930.6398608381635,64,1877.288335050632,103,1901.5962289954364,90,0.6968768113540339
EAR004,Hearing loss,0.9730876390217006,38.258733336974764,4090.1833557315103,2786.8678290393123,42,2031.343268392039,22,1971.0453653814498,60,2065.865500114059,44,0.6813552319443376
INJ067,"Allergic reactions, subsequent encounter",2.4515254380499067,42.60898171263054,3680.366057948863,2781.019049527356,43,1965.2699350265768,43,1905.5167802215474,90,1896.40426152198,95,0.7556365333608337
NVS017,Nerve and nerve root disorders,1.0775340723811955,33.78441883783721,5306.025384199774,2776.438133011048,44,1956.315189251221,47,2461.6830771634664,16,2542.7943581445957,12,0.5232613739992078
NEO072,Neoplasms of unspecified nature or uncertain behavior,0.7422259568633071,34.76375074807038,2770.340487021881,2469.942316049614,45,1992.4604656547397,32,2094.514087918885,40,2096.5211942534224,40,0.8915663354813128
END001,Thyroid disorders,6.206687798421159,37.3834877117629,3115.728045717953,2437.9377594975504,46,1897.3101093123228,85,1802.2800609042406,120,1984.73552566625,54,0.7824616666554348
FAC025,Other specified status,1.1555588359747926,44.45005867153263,4453.644555027953,2317.545174219384,47,1916.6367067842762,75,2026.9975267062398,45,2035.380382708992,48,0.5203704843492698
FAC013,Contraceptive and procreative management,2.0264832662965837,22.9071287118905,2684.1820709124236,2254.4919149825632,48,1920.5307265331753,74,1895.1498817729248,95,1884.9843205028276,102,0.8399176566350444
SYM004,Nausea and vomiting,1.0461709033517996,43.5327476706749,5742.013414006963,2191.0845311712287,49,1906.9832620745467,82,2133.7757818222835,38,2087.336194214758,41,0.3815881944521998
CIR009,Acute myocardial infarction,1.2449104929981807,33.27393192540564,4869.208281959678,2188.027310338985,50,1808.0362061702,113,1982.1212107500855,55,1994.540557633675,53,0.44935997468943434
