key,sweep,value,r2_ungamed,coding,selection,extraction,distinct_codes,label
cms,cost per code,0.0,0.10674657647965437,626257.7416955478,771869.5180228838,1398127.2597184316,6.0,CMS form
cms,cost per code,250.0,0.10674657647965437,611242.2598109695,771869.5180228838,1383111.7778338531,6.0,CMS form
cms,cost per code,500.0,0.10674657647965437,596226.7779263911,771869.5180228838,1368096.2959492751,6.0,CMS form
cms,cost per code,1000.0,0.10674657647965437,566195.8141572344,771869.5180228838,1338065.3321801184,6.0,CMS form
cms,cost per code,2000.0,0.10674657647965437,506133.8866189211,771869.5180228838,1278003.4046418048,6.0,CMS form
cms,cost per code,3000.0,0.10674657647965437,446071.95908060775,771869.5180228838,1217941.4771034915,6.0,CMS form
cms,codes per person,1,0.10674657647965437,566195.8141572344,771869.5180228838,1338065.3321801184,6.0,CMS form
cms,codes per person,2,0.10674657647965437,967821.0174588605,875586.2195084237,1843407.2369672842,9.4,CMS form
cms,codes per person,3,0.10674657647965437,1286987.4602799714,974323.7535173988,2261311.21379737,13.533333333333333,CMS form
cms,reach,0.02,0.10674657647965437,220249.03132954866,708849.3205523203,929098.3518818689,2.6666666666666665,CMS form
cms,reach,0.06,0.10674657647965437,566195.8141572344,771869.5180228838,1338065.3321801184,6.0,CMS form
cms,reach,0.1,0.10674657647965437,851267.2726365415,809262.5260038777,1660529.7986404193,7.8,CMS form
cms,reach,0.25,0.10674657647965437,1616444.8746352685,935984.3845220509,2552429.2591573196,17.733333333333334,CMS form
cms,reach,0.5,0.10674657647965437,2294947.3626798843,1077929.1541689406,3372876.516848825,39.53333333333333,CMS form
cms,reach,1,0.10674657647965437,2439330.668459766,1085381.1420117768,3524711.8104715426,61.8,CMS form
cms,audit exposure,0.0,0.10674657647965437,748194.7948751989,786486.3947084822,1534681.189583681,1.0,CMS form
cms,audit exposure,500.0,0.10674657647965437,676871.4542217489,783803.2109018457,1460674.6651235942,2.2666666666666666,CMS form
cms,audit exposure,2000.0,0.10674657647965437,566195.8141572344,771869.5180228838,1338065.3321801184,6.0,CMS form
cms,audit exposure,5000.0,0.10674657647965437,461313.5205239997,758328.761932159,1219642.2824561587,11.0,CMS form
cms,tilt,0.0,0.10674657647965437,566195.8141572344,0.0,566195.8141572344,6.0,CMS form
cms,tilt,0.05,0.10674657647965437,566195.8141572344,192961.5976944792,759157.4118517137,6.0,CMS form
cms,tilt,0.1,0.10674657647965437,566195.8141572344,385927.0498033772,952122.8639606115,6.0,CMS form
cms,tilt,0.2,0.10674657647965437,566195.8141572344,771869.5180228838,1338065.3321801184,6.0,CMS form
cms,tilt,0.3,0.10674657647965437,566195.8141572344,1157827.406175581,1724023.2203328155,6.0,CMS form
cms,tilt,0.5,0.10674657647965437,566195.8141572344,1929789.4483500095,2495985.262507244,6.0,CMS form
cms,plan cost model,boosting on F3 only,0.10674657647965437,566195.8141572344,751786.9918048925,1317982.8059621272,6.0,CMS form
cms,plan cost model,WLS on F3,0.10674657647965437,566195.8141572344,509909.96913985984,1076105.7832970943,6.0,CMS form
cms,plausibility,system,0.10674657647965437,528162.6774171701,748542.344687817,1276705.022104987,6.866666666666666,CMS form
cms,plausibility,use,0.10674657647965437,566245.5020605377,774556.9966941386,1340802.4987546764,6.0,CMS form
cms,plausibility,any,0.10674657647965437,566155.5677990037,785356.6664138591,1351512.2342128628,6.0,CMS form
cms,share of added codes real,0.0,0.10674657647965437,566195.8141572344,771869.5180228838,1338065.3321801184,6.0,CMS form
cms,share of added codes real,0.25,0.10674657647965437,348792.73717528017,736107.9903172898,1084900.72749257,6.0,CMS form
cms,share of added codes real,0.5,0.10674657647965437,121159.54457531171,698512.5591806368,819672.1037559486,6.0,CMS form
cms,share of added codes real,1,0.10674657647965437,-347386.53358738986,621294.1847386856,273907.6511512957,6.0,CMS form
cms_pen_1,cost per code,0.0,0.105592026996006,126411.58169546764,677320.7307992656,803732.3124947333,124.0,"CMS form, coding-penalized (lambda=1)"
cms_pen_1,cost per code,250.0,0.105592026996006,111398.00287173824,677320.7307992656,788718.7336710038,124.0,"CMS form, coding-penalized (lambda=1)"
cms_pen_1,cost per code,500.0,0.105592026996006,96384.42404800883,677320.7307992656,773705.1548472744,124.0,"CMS form, coding-penalized (lambda=1)"
cms_pen_1,cost per code,1000.0,0.105592026996006,66357.26640055004,677320.7307992656,743677.9971998156,124.0,"CMS form, coding-penalized (lambda=1)"
cms_pen_1,cost per code,2000.0,0.105592026996006,6452.231098527423,678275.9049039669,684728.1360024944,113.73333333333333,"CMS form, coding-penalized (lambda=1)"
cms_pen_1,cost per code,3000.0,0.105592026996006,0.0,675383.9742133734,675383.9742133734,0.0,"CMS form, coding-penalized (lambda=1)"
cms_pen_1,codes per person,1,0.105592026996006,66357.26640055004,677320.7307992656,743677.9971998156,124.0,"CMS form, coding-penalized (lambda=1)"
cms_pen_1,codes per person,2,0.105592026996006,119397.06733411095,692308.9182428062,811705.9855769171,124.0,"CMS form, coding-penalized (lambda=1)"
cms_pen_1,codes per person,3,0.105592026996006,164019.38396314514,712459.4467150945,876478.8306782396,124.0,"CMS form, coding-penalized (lambda=1)"
cms_pen_1,reach,0.02,0.105592026996006,24244.196670601672,678746.5321510903,702990.7288216922,34.13333333333333,"CMS form, coding-penalized (lambda=1)"
cms_pen_1,reach,0.06,0.105592026996006,66357.26640055004,677320.7307992656,743677.9971998156,124.0,"CMS form, coding-penalized (lambda=1)"
cms_pen_1,reach,0.1,0.105592026996006,105868.81649639885,682453.9825443203,788322.7990407192,124.0,"CMS form, coding-penalized (lambda=1)"
cms_pen_1,reach,0.25,0.105592026996006,230693.4711697623,689262.1432023146,919955.6143720769,124.0,"CMS form, coding-penalized (lambda=1)"
cms_pen_1,reach,0.5,0.105592026996006,322433.909320629,694696.0836988129,1017129.9930194418,124.0,"CMS form, coding-penalized (lambda=1)"
cms_pen_1,reach,1,0.105592026996006,322433.909320629,694696.0836988129,1017129.9930194418,124.0,"CMS form, coding-penalized (lambda=1)"
cms_pen_1,audit exposure,0.0,0.105592026996006,93287.78244535068,679809.254892491,773097.0373378417,1.0,"CMS form, coding-penalized (lambda=1)"
cms_pen_1,audit exposure,500.0,0.105592026996006,73590.77465249064,678148.2218431414,751738.996495632,28.933333333333334,"CMS form, coding-penalized (lambda=1)"
cms_pen_1,audit exposure,2000.0,0.105592026996006,66357.26640055004,677320.7307992656,743677.9971998156,124.0,"CMS form, coding-penalized (lambda=1)"
cms_pen_1,audit exposure,5000.0,0.105592026996006,61959.21332816105,677545.126915407,739504.3402435682,124.0,"CMS form, coding-penalized (lambda=1)"
cms_pen_1,tilt,0.0,0.105592026996006,66357.26640055004,0.0,66357.26640055004,124.0,"CMS form, coding-penalized (lambda=1)"
cms_pen_1,tilt,0.05,0.105592026996006,66357.26640055004,169323.85621685168,235681.12261740174,124.0,"CMS form, coding-penalized (lambda=1)"
cms_pen_1,tilt,0.1,0.105592026996006,66357.26640055004,338651.92986583355,405009.19626638363,124.0,"CMS form, coding-penalized (lambda=1)"
cms_pen_1,tilt,0.2,0.105592026996006,66357.26640055004,677320.7307992656,743677.9971998156,124.0,"CMS form, coding-penalized (lambda=1)"
cms_pen_1,tilt,0.3,0.105592026996006,66357.26640055004,1016006.4054789123,1082363.6718794624,124.0,"CMS form, coding-penalized (lambda=1)"
cms_pen_1,tilt,0.5,0.105592026996006,66357.26640055004,1693428.3867949932,1759785.6531955434,124.0,"CMS form, coding-penalized (lambda=1)"
cms_pen_1,plan cost model,boosting on F3 only,0.105592026996006,66357.26640055004,678923.5174453348,745280.7838458848,124.0,"CMS form, coding-penalized (lambda=1)"
cms_pen_1,plan cost model,WLS on F3,0.105592026996006,66357.26640055004,464872.19125198695,531229.457652537,124.0,"CMS form, coding-penalized (lambda=1)"
cms_pen_1,plausibility,system,0.105592026996006,33121.276251379204,687129.381756978,720250.6580083572,119.53333333333333,"CMS form, coding-penalized (lambda=1)"
cms_pen_1,plausibility,use,0.105592026996006,66462.92829276557,678238.5157167765,744701.444009542,124.0,"CMS form, coding-penalized (lambda=1)"
cms_pen_1,plausibility,any,0.105592026996006,66442.06428949234,688270.8093800488,754712.8736695411,124.0,"CMS form, coding-penalized (lambda=1)"
cms_pen_1,share of added codes real,0.0,0.105592026996006,66357.26640055004,677320.7307992656,743677.9971998156,124.0,"CMS form, coding-penalized (lambda=1)"
cms_pen_1,share of added codes real,0.25,0.105592026996006,-22753.565360532666,670311.342583012,647557.7772224792,124.0,"CMS form, coding-penalized (lambda=1)"
cms_pen_1,share of added codes real,0.5,0.105592026996006,-110028.32917747078,663996.5085303303,553968.1793528595,124.0,"CMS form, coding-penalized (lambda=1)"
cms_pen_1,share of added codes real,1,0.105592026996006,-294363.12852283934,650968.0588597216,356604.9303368824,124.0,"CMS form, coding-penalized (lambda=1)"
cms_robust_adv,cost per code,0.0,0.10795192225341378,165300.6960251757,674492.0475997836,839792.7436249594,27.6,"CMS form, capped + penalized + DRO, trained against the plan"
cms_robust_adv,cost per code,250.0,0.10795192225341378,150286.60630874342,674492.0475997836,824778.653908527,27.6,"CMS form, capped + penalized + DRO, trained against the plan"
cms_robust_adv,cost per code,500.0,0.10795192225341378,135272.51659231115,674492.0475997836,809764.5641920947,27.6,"CMS form, capped + penalized + DRO, trained against the plan"
cms_robust_adv,cost per code,1000.0,0.10795192225341378,105244.33715944653,674492.0475997836,779736.3847592302,27.6,"CMS form, capped + penalized + DRO, trained against the plan"
cms_robust_adv,cost per code,2000.0,0.10795192225341378,45187.978293717366,674492.0475997836,719680.0258935009,27.6,"CMS form, capped + penalized + DRO, trained against the plan"
cms_robust_adv,cost per code,3000.0,0.10795192225341378,6116.433262205824,670055.698779406,676172.1320416119,4.4,"CMS form, capped + penalized + DRO, trained against the plan"
cms_robust_adv,codes per person,1,0.10795192225341378,105244.33715944653,674492.0475997836,779736.3847592302,27.6,"CMS form, capped + penalized + DRO, trained against the plan"
cms_robust_adv,codes per person,2,0.10795192225341378,172279.32181053987,694908.6702071464,867187.9920176864,60.266666666666666,"CMS form, capped + penalized + DRO, trained against the plan"
cms_robust_adv,codes per person,3,0.10795192225341378,224297.05407541015,716517.0526381357,940814.1067135459,120.93333333333334,"CMS form, capped + penalized + DRO, trained against the plan"
cms_robust_adv,reach,0.02,0.10795192225341378,44968.020839072225,671909.7361183361,716877.7569574084,9.866666666666667,"CMS form, capped + penalized + DRO, trained against the plan"
cms_robust_adv,reach,0.06,0.10795192225341378,105244.33715944653,674492.0475997836,779736.3847592302,27.6,"CMS form, capped + penalized + DRO, trained against the plan"
cms_robust_adv,reach,0.1,0.10795192225341378,154120.00822880797,679069.4711284845,833189.4793572925,49.0,"CMS form, capped + penalized + DRO, trained against the plan"
cms_robust_adv,reach,0.25,0.10795192225341378,293517.9903669268,688497.4170381344,982015.4074050613,124.0,"CMS form, capped + penalized + DRO, trained against the plan"
cms_robust_adv,reach,0.5,0.10795192225341378,413389.82667730114,734560.9909605164,1147950.8176378175,124.0,"CMS form, capped + penalized + DRO, trained against the plan"
cms_robust_adv,reach,1,0.10795192225341378,416126.82687498437,745722.3611397909,1161849.1880147753,124.0,"CMS form, capped + penalized + DRO, trained against the plan"
cms_robust_adv,audit exposure,0.0,0.10795192225341378,194801.86300156137,680442.3012077635,875244.1642093248,1.3333333333333333,"CMS form, capped + penalized + DRO, trained against the plan"
cms_robust_adv,audit exposure,500.0,0.10795192225341378,142216.103252601,677217.3331856978,819433.4364382989,7.133333333333334,"CMS form, capped + penalized + DRO, trained against the plan"
cms_robust_adv,audit exposure,2000.0,0.10795192225341378,105244.33715944653,674492.0475997836,779736.3847592302,27.6,"CMS form, capped + penalized + DRO, trained against the plan"
cms_robust_adv,audit exposure,5000.0,0.10795192225341378,83257.04715582894,671194.1438400247,754451.1909958536,80.86666666666666,"CMS form, capped + penalized + DRO, trained against the plan"
cms_robust_adv,tilt,0.0,0.10795192225341378,105244.33715944653,0.0,105244.33715944653,27.6,"CMS form, capped + penalized + DRO, trained against the plan"
cms_robust_adv,tilt,0.05,0.10795192225341378,105244.33715944653,168619.03234793872,273863.36950738524,27.6,"CMS form, capped + penalized + DRO, trained against the plan"
cms_robust_adv,tilt,0.1,0.10795192225341378,105244.33715944653,337240.71766031714,442485.0548197637,27.6,"CMS form, capped + penalized + DRO, trained against the plan"
cms_robust_adv,tilt,0.2,0.10795192225341378,105244.33715944653,674492.0475997836,779736.3847592302,27.6,"CMS form, capped + penalized + DRO, trained against the plan"
cms_robust_adv,tilt,0.3,0.10795192225341378,105244.33715944653,1011753.9906612542,1116998.3278207006,27.6,"CMS form, capped + penalized + DRO, trained against the plan"
cms_robust_adv,tilt,0.5,0.10795192225341378,105244.33715944653,1686309.7195222222,1791554.0566816689,27.6,"CMS form, capped + penalized + DRO, trained against the plan"
cms_robust_adv,plan cost model,boosting on F3 only,0.10795192225341378,105244.33715944653,666263.3483721237,771507.6855315701,27.6,"CMS form, capped + penalized + DRO, trained against the plan"
cms_robust_adv,plan cost model,WLS on F3,0.10795192225341378,105244.33715944653,467714.2773610046,572958.6145204512,27.6,"CMS form, capped + penalized + DRO, trained against the plan"
cms_robust_adv,plausibility,system,0.10795192225341378,75052.33740729411,686083.7702496278,761136.107656922,37.93333333333333,"CMS form, capped + penalized + DRO, trained against the plan"
cms_robust_adv,plausibility,use,0.10795192225341378,105265.46008263224,675833.8227870615,781099.2828696937,27.4,"CMS form, capped + penalized + DRO, trained against the plan"
cms_robust_adv,plausibility,any,0.10795192225341378,105360.81739934633,686845.7575558895,792206.5749552359,27.866666666666667,"CMS form, capped + penalized + DRO, trained against the plan"
cms_robust_adv,share of added codes real,0.0,0.10795192225341378,105244.33715944653,674492.0475997836,779736.3847592302,27.6,"CMS form, capped + penalized + DRO, trained against the plan"
cms_robust_adv,share of added codes real,0.25,0.10795192225341378,-10876.919492949857,666244.5856382005,655367.6661452506,27.6,"CMS form, capped + penalized + DRO, trained against the plan"
cms_robust_adv,share of added codes real,0.5,0.10795192225341378,-136185.69345088128,657100.7719937415,520915.0785428602,27.6,"CMS form, capped + penalized + DRO, trained against the plan"
cms_robust_adv,share of added codes real,1,0.10795192225341378,-364630.91803342965,639469.1474654016,274838.2294319718,27.6,"CMS form, capped + penalized + DRO, trained against the plan"
gbm,cost per code,0.0,0.20074249425701637,579158.4770854185,234869.13391548872,814027.6110009073,13.466666666666667,Tweedie boosting
gbm,cost per code,250.0,0.20074249425701637,564147.7665495989,234869.13391548872,799016.9004650876,13.466666666666667,Tweedie boosting
gbm,cost per code,500.0,0.20074249425701637,549137.0560137792,234869.13391548872,784006.1899292679,13.466666666666667,Tweedie boosting
gbm,cost per code,1000.0,0.20074249425701637,519115.6349421398,234869.13391548872,753984.7688576286,13.466666666666667,Tweedie boosting
gbm,cost per code,2000.0,0.20074249425701637,459072.86183266086,234864.88174042586,693937.7435730867,13.466666666666667,Tweedie boosting
gbm,cost per code,3000.0,0.20074249425701637,399581.8617548582,233433.82969093646,633015.6914457947,13.266666666666667,Tweedie boosting
gbm,codes per person,1,0.20074249425701637,519115.6349421398,234869.13391548872,753984.7688576286,13.466666666666667,Tweedie boosting
